uID,uCat
552ad4e80234f7e6568c286b,Channel9
53bf5a0e9ef0b78a1c75138e,Channel1
5428a67cb3cd87a412ae6252,Channel6
549905f73e3e776908280711,Channel1
54a76205c5f46ecd0f16876b,Channel11
54c7a6c4c5f46ecd0f194f77,Channel13
54cfc3dfc5f46ecd0f1a4321,Channel1
550e51eb0b5713935b6af044,Channel7
551ab40e9516c92415485303,Channel6
551f8c7dd6657ae7070fb84a,Channel8
555297c58f99862a0832e62f,Channel6
555b8e08e3a5da083b2d38e8,Channel13
555e485cfc87d0e077f61515,Channel12
555f292bfc87d0e077f6375b,Channel10
55640c87e3a5da083b2e8fe1,Channel8
556505a0e3a5da083b2ecf7d,Channel1
556a2836fc87d0e077f7dfcb,Channel1
556b7de3996ce5ed0779566e,Channel1
555ae16c8f99862a08341d36,Channel5
5552d01ffee2a02f1d41e973,Channel9
54dd4b344540f72617525f75,Channel8
55380bb40234f7e6568e9ee7,Channel8
555736868f99862a0833b357,Channel1
552bb89d0234f7e6568c36cb,Channel6
55343fe38928e5212ed09860,Channel6
554bba378f99862a0831e96b,Channel6
555254718f99862a0832cd23,Channel6
5553e84a8f99862a083333a1,Channel6
550c3a27c7b4f11039c28074,Channel1
5566156de3a5da083b2f1323,Channel9
55666c24e3a5da083b2f3a62,Channel9
54da3e7a50dfb5e80702d597,Channel8
55608f06fc87d0e077f66b13,Channel7
54feee70f97d87546f413b3d,Channel13
55145212b8d1be39498301a9,Channel1
553d52840234f7e6568f5f9d,Channel12
5547accf8f99862a08311cc4,Channel8
554d0c948f99862a08322bc6,Channel1
555d251dfc87d0e077f5e608,Channel2
5564ce34e3a5da083b2eb586,Channel1
55674df3fc87d0e077f777fa,Channel13
5566158de3a5da083b2f133f,Channel8
55557539fee2a02f1d427571,Channel9
555f292bfc87d0e077f6375c,Channel6
55651149e3a5da083b2ed6e1,Channel6
54cb1a622e08b70233a50e4c,Channel9
54f4b10a2de2cbc0122834f7,Channel8
5564b1d2fc87d0e077f6bc98,Channel6
55562452fee2a02f1d4287a3,Channel6
555281ccfee2a02f1d41d162,Channel6
54ec999fb54b72b02f017c7a,Channel1
551f2445d6657ae7070fb02d,Channel8
5553ca4f8f99862a08332b4d,Channel8
556bb19f996ce5ed07795c53,Channel6
5558ab8a8f99862a0833c5ff,Channel6
555e37fde3a5da083b2df66f,Channel9
52140d8dce77a721002a1815,Channel7
555bb079fc87d0e077f58d8a,Channel8
55209f3c9516c924154982f5,Channel7
5363f6402687b1e80d024442,Channel8
54f4f2bb68f8262816baf9fd,Channel8
54b48ce32e08b70233a28794,Channel12
