uID,uCat
54cf1905c5f46ecd0f1a37b2,Channel13
552930fa8928e5212ecee7b7,Channel12
554a075bfee2a02f1d407e09,Channel1
555240368f99862a0832bf62,Channel1
5555df728f99862a0833830f,Channel13
555690338f99862a0833ad5f,Channel13
55594bfefee2a02f1d42cd11,Channel8
55677cb2e3a5da083b2f7552,Channel1
55534df7fee2a02f1d41f1fd,Channel9
555751e8fee2a02f1d42acdb,Channel9
54f5f24b60287a257edfb6f8,Channel6
555493cb8f99862a08334560,Channel6
5568e635fc87d0e077f7c7e4,Channel9
5564fe42e3a5da083b2ecc18,Channel6
5549985dfee2a02f1d4075ba,Channel8
54f23f9e2de2cbc012280136,Channel6
555d6e1bfc87d0e077f5f1d5,Channel6
556a5b94fc87d0e077f7e3f3,Channel6
5554132afee2a02f1d4232d3,Channel9
5553dcb2fee2a02f1d42265c,Channel9
555cbd3fe3a5da083b2da42d,Channel6
5558d1c9fee2a02f1d42c195,Channel9
555ce3ddfc87d0e077f5cce9,Channel8
555e599afc87d0e077f61a7e,Channel9
555f2f6bfc87d0e077f63839,Channel9
5560ce5ffc87d0e077f671e0,Channel9
556c7801fc87d0e077f80d58,Channel9
54ee37492de2cbc012275aea,Channel13
5451496d51a18de541619865,Channel7
551757e79516c9241547e697,Channel6
50edc104ce77a73398f1f3f6,Channel3
53c41f9a0fe8bec461f9678a,Channel1
54c1a10bc5f46ecd0f18d7da,Channel6
54f4bd6b82367ff007e9072c,Channel9
55020e620bb19ae920a915af,Channel13
5503ac5a0bb19ae920a94da7,Channel2
5554da838f99862a0833568d,Channel1
555a357c8f99862a0833f4cc,Channel6
555df722e3a5da083b2de59c,Channel13
555e8983e3a5da083b2e0d4e,Channel9
555f65e0e3a5da083b2e2cac,Channel12
55677e02fc87d0e077f78b60,Channel1
55688acfe3a5da083b2f9803,Channel1
552563369516c924154a2a56,Channel6
554be5408f99862a0831f890,Channel9
54de47d51f52c78b5482c084,Channel6
555aebeffee2a02f1d4317c3,Channel1
55591a068f99862a0833cffa,Channel9
5510e1dbe14573073a628891,Channel6
55410f4d0234f7e6569017bf,Channel6
55021d6df97d87546f41e9b0,Channel1
5509c4450bb19ae920aa0ef7,Channel8
54e8f193b54b72b02f012172,Channel9
5564d2cbfc87d0e077f6cde1,Channel7
54e6c0c9b54b72b02f00e52f,Channel6
5529432d8928e5212ecee924,Channel6
5557b782fee2a02f1d42b394,Channel9
555b5c4efee2a02f1d432328,Channel6
555dc6bafc87d0e077f5f5e5,Channel13
5334959b245c7d29f0483bd6,Channel7
54cbf736c5f46ecd0f1a070b,Channel8
5466774251a18de541674ac1,Channel8
5559f952fee2a02f1d42daa7,Channel6
53d5c81843ccad834e490261,Channel1
54bd6ac5c5f46ecd0f1843b7,Channel6
5524c20f9516c924154a16e0,Channel7
554bb3d0fee2a02f1d40d9cc,Channel6
5550c33f8f99862a0832702d,Channel6
555297cefee2a02f1d41dcdb,Channel6
5555059b8f99862a08336758,Channel8
5558d470fee2a02f1d42c1c8,Channel8
555a39b38f99862a0833f634,Channel13
555cd875e3a5da083b2daee1,Channel11
555e7a18e3a5da083b2e0bb0,Channel6
555f9e1cfc87d0e077f65623,Channel13
5561e9e8fc87d0e077f67f7d,Channel2
55636703fc87d0e077f69604,Channel8
556a0692fc87d0e077f7dc9b,Channel6
556b7028996ce5ed0779543f,Channel6
556bb0a3fc87d0e077f7fcb4,Channel1
555289588f99862a0832e00a,Channel9
555d086ffc87d0e077f5dbf7,Channel6
55689d87fc87d0e077f7b3cc,Channel1
5558be478f99862a0833c77f,Channel1
5526e4808928e5212ecea692,Channel9
555b832ffc87d0e077f549a7,Channel6
555eaa12e3a5da083b2e13a5,Channel9
5556969a8f99862a0833ae45,Channel6
55665d1fe3a5da083b2f3547,Channel8
556be7f8fc87d0e077f80236,Channel6
5557f5288f99862a0833bf61,Channel13
55520ed98f99862a0832ae41,Channel9
555d589cfc87d0e077f5f054,Channel6
5504f85b0bb19ae920a962e5,Channel6
54ec7fa72de2cbc01226de4c,Channel13
55612c33fc87d0e077f67719,Channel9
5564ab5cfc87d0e077f6ba65,Channel9
53a5d1b2245c7d14ac22b722,Channel7
538f9a3f6f88617175008ac6,Channel13
544d5c1234fdcf4b08948d17,Channel13
5453db0e51a18de54164917d,Channel8
5460632f3e3e77690824f4ed,Channel12
549a090f460e0793086ff8ad,Channel6
54d38cac2e08b70233a6f4d7,Channel6
54ec9286b54b72b02f017aa8,Channel6
550367d10bb19ae920a945f1,Channel12
5525c87d8928e5212ece790e,Channel1
5526d5970234f7e6568bc5e3,Channel8
5536ed9a0234f7e6568e58a0,Channel5
5554cbab8f99862a08335111,Channel13
555dfe70fc87d0e077f5fdde,Channel13
556622e8e3a5da083b2f1e1c,Channel12
556625affc87d0e077f73457,Channel6
540541e03c5e9fb15700d825,Channel6
554ba9048f99862a0831e4f8,Channel9
5553d20e8f99862a08332d72,Channel9
55480fe68f99862a08313701,Channel6
5553b1b8fee2a02f1d42154b,Channel9
5559246c8f99862a0833d0c5,Channel6
55563cbbfee2a02f1d42903b,Channel9
555b9790fc87d0e077f5830b,Channel8
5569404d996ce5ed077932d2,Channel6
555a6c168f99862a08340981,Channel1
555237fdfee2a02f1d41b0c3,Channel9
555a9bc38f99862a083412fc,Channel9
553fd3bb0234f7e6568fd226,Channel6
555cfa91e3a5da083b2dbe04,Channel9
555f0278e3a5da083b2e1c74,Channel9
556b499dfc87d0e077f7f0e9,Channel9
5272ea49ce77a70568efec35,Channel7
553bb1020234f7e6568f3c23,Channel7
5337c285245c7d17b4a0d7d2,Channel12
529a0a72ce77a70f080fb976,Channel7
54464cda34fdcf4b08945594,Channel13
54f5f2eb68f8262816bb24b1,Channel8
54fd44f3f97d87546f40fe1e,Channel9
550190a2f97d87546f41c49c,Channel13
5519acaed6657ae7070e7383,Channel8
552e94848928e5212ecfa57c,Channel13
552ee9f10234f7e6568cf4e5,Channel9
554a7d3b8f99862a0831adb0,Channel13
55529b3dfee2a02f1d41de3d,Channel12
5564b3cffc87d0e077f6bd3b,Channel7
55672ee3fc87d0e077f76c5a,Channel8
5568f1eb996ce5ed07792aeb,Channel13
5559bd40fee2a02f1d42d564,Channel9
555ccb1be3a5da083b2daaa8,Channel6
551c3feb9516c9241548ba78,Channel8
5556310afee2a02f1d428c88,Channel9
556b7e14996ce5ed0779567e,Channel6
555b8fbcfc87d0e077f54fe3,Channel6
5568b3a2fc87d0e077f7ba23,Channel6
54f84cf50bb19ae920a793d0,Channel1
5511e7ed0b5713935b6b7d75,Channel6
5555119dfee2a02f1d42615a,Channel1
55647f76fc87d0e077f6ab53,Channel9
5564dbdde3a5da083b2ebf19,Channel9
555cd746e3a5da083b2dae4f,Channel8
53069b1c245c7d110cdfb773,Channel1
530025ba245c7d1f6cd85edd,Channel7
5445f44451a18de541607a35,Channel1
54909947460e0793086f4d13,Channel8
54f1b23882367ff007e8c795,Channel9
54f6657368f8262816bb5507,Channel8
5512d878e14573073a62dbdd,Channel1
553020ca0234f7e6568d37d5,Channel1
553296e38928e5212ed07450,Channel8
554ab1698f99862a0831be93,Channel8
55536c3f8f99862a083302b5,Channel8
555bc1eefc87d0e077f59310,Channel1
555cd0d7fc87d0e077f5c2da,Channel12
55612dcce3a5da083b2e5fc7,Channel9
556c4442fc87d0e077f805f7,Channel11
556104e7e3a5da083b2e5d35,Channel8
556c641dfc87d0e077f80977,Channel6
5526c4078928e5212ece9cb0,Channel1
555a67ef8f99862a08340864,Channel9
555ba52dfc87d0e077f5869f,Channel6
5567c331fc87d0e077f79b71,Channel1
55649a7de3a5da083b2ea0c8,Channel9
556521e9e3a5da083b2eddc7,Channel9
556601abe3a5da083b2f0561,Channel9
55672f89fc87d0e077f76c81,Channel6
5565082dfc87d0e077f6e55e,Channel7
5505fef30bb19ae920a971d2,Channel1
534ef051245c7d20849019b1,Channel7
538ca04b6f88617175005c0b,Channel8
54adf07dc5f46ecd0f16fdc7,Channel13
54e906572de2cbc01226871f,Channel6
55099603f97d87546f42d41a,Channel1
551aeeb0d6657ae7070ebac6,Channel12
552213fdd6657ae7070fe3ec,Channel13
553058e88928e5212ed02740,Channel8
553ae2908928e5212ed1fd7a,Channel12
553b152e0234f7e6568f346a,Channel12
555721478f99862a0833b2d2,Channel6
555a317cfee2a02f1d42ece2,Channel13
555d1ad9fc87d0e077f5e29d,Channel13
55637a43fc87d0e077f69838,Channel6
55654e59fc87d0e077f6f9d9,Channel1
5565dc0de3a5da083b2ef2df,Channel1
553190758928e5212ed05dd3,Channel6
555fb46bfc87d0e077f65bb4,Channel6
555fb8aee3a5da083b2e44e0,Channel9
555bd6bbe3a5da083b2d824b,Channel9
555fb940e3a5da083b2e4522,Channel9
54ebfad9b54b72b02f016f3f,Channel7
5411f5e0d0862a93247a3538,Channel6
5568b739e3a5da083b2fa591,Channel6
554f7d478f99862a08325b06,Channel9
55651f95fc87d0e077f6f106,Channel9
55652967fc87d0e077f6f2d2,Channel9
556a812afc87d0e077f7e5bf,Channel9
556b4566fc87d0e077f7ef4f,Channel9
556c10e8fc87d0e077f803a8,Channel9
510c6771ce77a7117cd6d5c4,Channel7
55648d15fc87d0e077f6aede,Channel7
55072238f97d87546f4267e2,Channel1
555a6f86fee2a02f1d43046d,Channel8
53d4d8bf43ccad834e48ee4b,Channel1
546950f53e3e7769082548db,Channel8
54d3f3f0c5f46ecd0f1bd376,Channel8
54dbd0824540f72617520f6d,Channel9
54e23e004540f7261752ca2f,Channel1
54e285a74540f7261752d52f,Channel1
54e4fbb41f52c78b5483785a,Channel8
54ed12eeb54b72b02f01b1d7,Channel1
54f4902782367ff007e8fa7e,Channel9
54fde05af97d87546f4110bf,Channel8
54fff21c0bb19ae920a8b107,Channel6
553904cf8928e5212ed19676,Channel1
555333828f99862a0832f8de,Channel1
555a453bfee2a02f1d42f5bf,Channel13
555f9036fc87d0e077f65117,Channel8
555f9e08fc87d0e077f65611,Channel6
55601498e3a5da083b2e4ecc,Channel8
5560f49cfc87d0e077f67412,Channel12
5564e999e3a5da083b2ec436,Channel13
556cdd0cfc87d0e077f830e7,Channel8
55585d8dfee2a02f1d42bb9b,Channel6
5547aa958f99862a08311bf2,Channel9
554bba97fee2a02f1d40db89,Channel9
55594a72fee2a02f1d42ccea,Channel9
54fe4be7f97d87546f412d9a,Channel6
54d26a5d2e08b70233a6c91d,Channel6
555b874bfc87d0e077f54b6d,Channel6
55609903fc87d0e077f66d78,Channel6
5565e837fc87d0e077f70c99,Channel6
55369e098928e5212ed10fc9,Channel8
555268ce8f99862a0832d285,Channel9
555a325f8f99862a0833f3ca,Channel6
5561627ae3a5da083b2e62ba,Channel9
5339b3dc245c7d03fcf1cc70,Channel7
53ab1a5b67a2f7c65600b426,Channel7
53fe9fef3c5e9fb157004262,Channel12
54b2e82ac5f46ecd0f175000,Channel8
54d25f9ec5f46ecd0f1b8cf8,Channel8
54de3de34540f726175285e9,Channel8
54e3c3861f52c78b54833668,Channel6
54fdc8ddf97d87546f410b37,Channel8
5509b12af97d87546f42dd85,Channel8
550b0f840bb19ae920aa44a0,Channel1
55101f43e14573073a62533d,Channel9
551cb5edd6657ae7070f3a03,Channel6
552edac88928e5212ecfc179,Channel1
554025168928e5212ed2c14f,Channel6
554d33dbfee2a02f1d412b30,Channel1
555501b48f99862a08336648,Channel13
5557bd378f99862a0833bb97,Channel8
55678eaae3a5da083b2f7ab4,Channel13
556a07b8996ce5ed07793cb2,Channel13
54f1f9aa82367ff007e8cb93,Channel7
554c2974fee2a02f1d40fb3c,Channel6
54ac21122e08b70233a1d294,Channel6
55655162fc87d0e077f6fa37,Channel6
555e650ffc87d0e077f61d41,Channel9
55596716fee2a02f1d42d200,Channel8
55355ddd8928e5212ed0d00f,Channel6
5556253dfee2a02f1d4287e3,Channel9
555b6699e3a5da083b2d2b72,Channel9
5564be65e3a5da083b2eae6c,Channel9
5567974fe3a5da083b2f7ca5,Channel9
54cea1a62e08b70233a552c6,Channel8
529fba5fce77a70b4816a953,Channel7
5526c6ab0234f7e6568bc0b7,Channel9
555ca989fc87d0e077f5b17d,Channel6
542c9a5534fdcf4b08937c70,Channel13
542eafe134fdcf4b08938e36,Channel13
54b139efc5f46ecd0f173e3d,Channel2
5501ff270bb19ae920a91229,Channel1
551d900e9516c924154911cb,Channel6
55401dab0234f7e6568ff1bc,Channel9
55494ab3fee2a02f1d406483,Channel6
5554f6808f99862a08336181,Channel1
555a25bbfee2a02f1d42e8ab,Channel8
55651a90e3a5da083b2edb5e,Channel6
55678e54e3a5da083b2f7aa3,Channel4
5537215e8928e5212ed13779,Channel9
550ca5c1e14573073a6218d2,Channel6
555e3431e3a5da083b2df4e0,Channel8
5562da84e3a5da083b2e76bf,Channel13
55536f3cfee2a02f1d41f9f8,Channel9
556bd8f6fc87d0e077f80152,Channel6
5540e15a0234f7e656900a33,Channel6
5547c9c9fee2a02f1d401693,Channel9
5564ddeefc87d0e077f6d396,Channel9
556bd908996ce5ed077960aa,Channel9
5557bd128f99862a0833bb89,Channel6
556c3114fc87d0e077f804da,Channel6
556605a7fc87d0e077f71bbe,Channel7
5535c8550234f7e6568e1422,Channel3
5567eefbe3a5da083b2f8a18,Channel9
5461e0f83e3e7769082504f9,Channel6
5506f7f8f97d87546f425b8a,Channel9
5510d0c8e14573073a628564,Channel13
551800129516c9241547ec5d,Channel8
55230e26d6657ae707101023,Channel9
5533df518928e5212ed089b5,Channel6
553547300234f7e6568df1a3,Channel8
553715f88928e5212ed1358b,Channel13
554bff99fee2a02f1d40f26a,Channel6
555b991dfc87d0e077f583ba,Channel8
555cb09ee3a5da083b2d9f13,Channel11
555f5aeae3a5da083b2e2987,Channel13
55601ec4fc87d0e077f6676f,Channel1
55639dfcfc87d0e077f69bc1,Channel13
55663e0ee3a5da083b2f274b,Channel13
556715cae3a5da083b2f4ee5,Channel13
5555094a8f99862a08336856,Channel9
556cc491fc87d0e077f828b2,Channel6
54dc14ae4540f72617522e3e,Channel6
54f091bfb54b72b02f026624,Channel1
552650288928e5212ece8986,Channel6
55528ec9fee2a02f1d41d96e,Channel8
55564549fee2a02f1d42933f,Channel9
551c392a9516c9241548b843,Channel6
556145a4fc87d0e077f678f0,Channel6
53fe46293c5e9fb157003327,Channel8
5548cc61fee2a02f1d403597,Channel9
555ca88be3a5da083b2d9b15,Channel9
5563cf67e3a5da083b2e8b28,Channel9
55684c00e3a5da083b2f8e87,Channel9
556b8bdf996ce5ed077958aa,Channel9
556cec03996ce5ed077994dd,Channel9
5554c241fee2a02f1d42451d,Channel6
5367a5a22687b1e80d028abd,Channel7
522a4996ce77a7255c9fd0a0,Channel7
551d71ea9516c92415490754,Channel9
5472145351a18de541686210,Channel2
54cee2cc2e08b70233a5561c,Channel6
54d53a6550dfb5e8070265c4,Channel13
54f6d6ed68f8262816bb66df,Channel11
550eeb7de14573073a6238b5,Channel6
55479088fee2a02f1d400668,Channel13
554ae648fee2a02f1d40b8f9,Channel9
555a6b76fee2a02f1d430302,Channel1
555dca8ae3a5da083b2ddfd4,Channel6
556317a6fc87d0e077f68f13,Channel11
5568655efc87d0e077f7a5bc,Channel1
5569f865fc87d0e077f7daeb,Channel1
556a09ca996ce5ed07793d00,Channel12
5559ee078f99862a0833df60,Channel9
5549133cfee2a02f1d405197,Channel8
553976810234f7e6568ee9c0,Channel1
55149fe0b8d1be3949831d46,Channel6
556cafc1fc87d0e077f822b1,Channel9
555a1942fee2a02f1d42e26e,Channel6
55665214e3a5da083b2f2efc,Channel6
5568c383e3a5da083b2fa9a1,Channel6
555947878f99862a0833d389,Channel6
554999db8f99862a08318553,Channel9
555e4cb4fc87d0e077f61651,Channel9
556a0139996ce5ed07793bdf,Channel1
55650e33fc87d0e077f6e8b4,Channel9
55661bacfc87d0e077f72b56,Channel9
556692d4e3a5da083b2f4196,Channel8
556caae3996ce5ed07797f33,Channel9
555cd21de3a5da083b2dacc2,Channel1
556cc623fc87d0e077f82926,Channel9
51f7eefcce77a713800a6da8,Channel7
5559d881fee2a02f1d42d648,Channel7
52562238ce77a70d98327339,Channel7
54d57b812e08b70233a746c6,Channel9
554b9232fee2a02f1d40cba7,Channel6
540222863c5e9fb15700a816,Channel6
5449381934fdcf4b0894730b,Channel12
54f0ebc4b54b72b02f027bc9,Channel8
552557a6d6657ae707106b4c,Channel8
552d61b58928e5212ecf6498,Channel13
552fffad8928e5212ed0045f,Channel8
55331ef48928e5212ed07e4c,Channel9
5552473c8f99862a0832c848,Channel6
555474028f99862a083343de,Channel2
55626a09fc87d0e077f6872a,Channel1
5558e72afee2a02f1d42c31e,Channel9
5567f3d8e3a5da083b2f8a95,Channel6
555ddccfe3a5da083b2de14f,Channel6
5513196de14573073a62ee2c,Channel1
556cbf84fc87d0e077f82718,Channel9
55535ca6fee2a02f1d41f434,Channel9
555a06758f99862a0833e479,Channel6
555e17ffe3a5da083b2ded11,Channel8
551e4046d6657ae7070f8c47,Channel6
555e4958e3a5da083b2dfe1e,Channel9
556c883bfc87d0e077f81331,Channel13
555511edfee2a02f1d426182,Channel9
555cd77afc87d0e077f5c4e6,Channel8
55561793fee2a02f1d4284a4,Channel13
556610aefc87d0e077f723d3,Channel9
51f2f64bce77a70eb88e329a,Channel7
547e0cd6460e0793086dcb8d,Channel9
542c235d51a18de5415dedb2,Channel12
54a6f4702e08b70233a18ba7,Channel1
54d270d12e08b70233a6cab2,Channel6
54ea5835b54b72b02f0137f6,Channel6
5521e750d6657ae7070fe0b3,Channel9
55244a119516c9241549fc78,Channel8
55380bc38928e5212ed1703f,Channel6
55392e760234f7e6568ed39c,Channel8
5542b1aa8928e5212ed34872,Channel8
555397d4fee2a02f1d420b34,Channel13
555d206ae3a5da083b2dce14,Channel6
555d2759fc87d0e077f5e76c,Channel8
555f9042fc87d0e077f65121,Channel4
555fa288e3a5da083b2e3e94,Channel13
55674efafc87d0e077f77858,Channel11
5567596ee3a5da083b2f67d4,Channel8
5567b961fc87d0e077f798d6,Channel6
5569f3ca996ce5ed07793a31,Channel1
556ca804fc87d0e077f81f51,Channel6
555b6c23fc87d0e077f54335,Channel9
5546fcbffee2a02f1d3ffba4,Channel9
55524fa3fee2a02f1d41c198,Channel9
555938fb8f99862a0833d20c,Channel9
556ca4a5fc87d0e077f81e49,Channel6
552eb2408928e5212ecfafda,Channel6
55561f39fee2a02f1d4286b6,Channel6
55681324fc87d0e077f7a173,Channel6
53fbdfcd3c5e9fb157ffe734,Channel6
54f77fa20bb19ae920a77410,Channel8
552cd2380234f7e6568c735a,Channel6
55690c42fc87d0e077f7ce14,Channel9
553918150234f7e6568ecbd2,Channel6
5548f6ae8f99862a083151f7,Channel9
55534d458f99862a0832fbf6,Channel9
5560ccd8e3a5da083b2e59af,Channel6
55528a178f99862a0832e04d,Channel9
555229c48f99862a0832b4ab,Channel9
52f55459245c7d19e45ed7d2,Channel7
52ea99a6245c7d0cf4045463,Channel7
