uID,jID,pDate,bDate,jArea
53d4d8bf43ccad834e48ee4b,55491ac68f99862a083163c5,10/5/12,10/5/12,DevOps
55099603f97d87546f42d41a,556877f0fc87d0e077f7a7d6,10/29/12,,Buildings
54e23e004540f7261752ca2f,54f6377368f8262816bb470d,8/3/12,8/10/12,HR
54d26a5d2e08b70233a6c91d,54d26ac42e08b70233a6c937,7/4/12,7/25/12,NFP
54da3e7a50dfb5e80702d597,54da412250dfb5e80702d6d9,7/10/12,,DevOps
54e906572de2cbc01226871f,54e90745b54b72b02f01233f,11/9/12,,Startups
54d3f3f0c5f46ecd0f1bd376,54ecc1622de2cbc01226ee02,7/24/12,8/20/12,HR
54f4902782367ff007e8fa7e,54f490922de2cbc012282be9,8/2/12,8/23/12,HR
54f4f2bb68f8262816baf9fd,54f4f2f868f8262816bafa14,8/2/12,8/11/12,Patents
5411f5e0d0862a93247a3538,54f0fae42de2cbc01227e8fb,7/27/12,8/12/12,DHS
54ebfad9b54b72b02f016f3f,54f64b2b018439c66807cd84,8/4/12,8/11/12,Agreements
54fe4be7f97d87546f412d9a,54fe512c0bb19ae920a8619d,8/10/12,8/19/12,Startups
54feee70f97d87546f413b3d,54fef0810bb19ae920a86dea,8/10/12,8/19/12,Patents
550c3a27c7b4f11039c28074,550c3c70149467271fddd6f4,8/20/12,,Startups
54e4fbb41f52c78b5483785a,550c7d890b5713935b6acc96,8/20/12,8/23/12,TC
55145212b8d1be39498301a9,551452d69516c92415477b01,8/26/12,8/26/12,TC
551ab40e9516c92415485303,551b07abd6657ae7070ec8bd,8/31/12,11/4/12,TC
54fff21c0bb19ae920a8b107,5500d1d5f97d87546f41aa22,8/11/12,8/11/12,DHS
5363f6402687b1e80d024442,54dbe7cb1f52c78b548250f4,7/11/12,7/11/12,DHS
5363f6402687b1e80d024442,54d90b4550dfb5e80702a8ee,7/9/12,7/9/12,DHS
54c7a6c4c5f46ecd0f194f77,5515981cd6657ae7070e0cb4,8/27/12,8/30/12,DHS
54cfc3dfc5f46ecd0f1a4321,54cfc46a2e08b70233a564da,7/2/12,7/4/12,DHS
54c7a6c4c5f46ecd0f194f77,54e3ef024540f72617530850,7/18/12,7/18/12,DHS
55072238f97d87546f4267e2,550a10070bb19ae920aa2417,8/18/12,8/19/12,Startups
54dbd0824540f72617520f6d,550b28a00bb19ae920aa4b38,8/19/12,8/19/12,Agreements
54dbd0824540f72617520f6d,550dc024e14573073a622949,8/21/12,8/23/12,Agreements
54dd4b344540f72617525f75,54ff39d0f97d87546f414d78,8/10/12,9/14/12,Agreements
510c6771ce77a7117cd6d5c4,5537d6a30234f7e6568e8df8,9/22/12,9/28/12,Patents
551aeeb0d6657ae7070ebac6,551aef209516c92415486bf0,8/31/12,9/23/12,Buildings
552ad4e80234f7e6568c286b,552ad62d8928e5212ecf0193,9/12/12,9/29/12,Patents
54ed12eeb54b72b02f01b1d7,54ed134db54b72b02f01b242,7/25/12,8/16/12,Startups
52140d8dce77a721002a1815,551f0fe89516c92415496298,9/3/12,10/13/12,Startups
551f8c7dd6657ae7070fb84a,552ff8468928e5212ed0018f,9/16/12,9/16/12,TC
553190758928e5212ed05dd3,553190ca0234f7e6568d879b,9/17/12,9/18/12,TC
55343fe38928e5212ed09860,5534426f0234f7e6568dc571,9/20/12,9/23/12,Patents
55369e098928e5212ed10fc9,55369e9b8928e5212ed10ff2,9/21/12,,DevOps
553904cf8928e5212ed19676,553905298928e5212ed19686,9/23/12,9/27/12,Agreements
54cb1a622e08b70233a50e4c,553a7da40234f7e6568f1536,9/24/12,9/24/12,TC
5363f6402687b1e80d024442,553ab0258928e5212ed1f051,9/24/12,9/24/12,DHS
553ae2908928e5212ed1fd7a,553ae2ca0234f7e6568f2dd8,9/25/12,10/11/12,Buildings
553d52840234f7e6568f5f9d,553d532b8928e5212ed22e19,9/26/12,9/30/12,TC
553058e88928e5212ed02740,5530597b8928e5212ed02769,9/17/12,9/29/12,Agreements
5363f6402687b1e80d024442,554108140234f7e656901495,9/29/12,9/29/12,DHS
5339b3dc245c7d03fcf1cc70,553142618928e5212ed04985,9/17/12,10/1/12,Patents
55380bb40234f7e6568e9ee7,553fcd610234f7e6568fcffe,9/28/12,10/2/12,DevOps
5547accf8f99862a08311cc4,5547ad468f99862a08311ce9,10/4/12,10/11/12,Buildings
5363f6402687b1e80d024442,55490bec8f99862a08315dc6,10/5/12,10/5/12,DHS
53d4d8bf43ccad834e48ee4b,554a67de8f99862a0831a864,10/6/12,10/18/12,Startups
