Bid bin number,Num. Jobs
  1 bid(s),   78
  2 bid(s),   61
  3 bid(s),   45
  4 bid(s),   28
  5 bid(s),   27
  6 bid(s),   21
  7 bid(s),   12
  8 bid(s),   10
  9 bid(s),    3
 10 bid(s),    3
 11 bid(s),    4
 12 bid(s),    1
 15 bid(s),    1
