Month,Posted,Booked,% Booked,Booked (5-day),% Booked (5-day)
     July,  33,  28, 84.85 %,      17,     51.52 %
   August,  53,  43, 81.13 %,      19,     35.85 %
September,  65,  62, 95.38 %,      32,     49.23 %
  October, 371, 118, 31.81 %,      81,     21.83 %
 November,  38,   7, 18.42 %,       6,     15.79 %
