Month,Posted,Booked,% Booked,Booked (5-day),% Booked (5-day)
 February,  33,  28, 84.85 %,      18,     54.55 %
    March,  53,  43, 81.13 %,      19,     35.85 %
    April,  65,  62, 95.38 %,      32,     49.23 %
      May, 372, 118, 31.72 %,      81,     21.77 %
     June,  38,   7, 18.42 %,       6,     15.79 %
